idShowtime|idMovie|idRoom|onScreenDateTime
idShowtime0000001|idMovie0001|idRoom01|03/01/2025-00:00
idShowtime0000002|idMovie0001|idRoom01|03/01/2025-03:30
idShowtime0000003|idMovie0001|idRoom01|03/01/2025-07:00
idShowtime0000004|idMovie0001|idRoom01|03/01/2025-10:30
idShowtime0000005|idMovie0001|idRoom01|03/01/2025-14:00
idShowtime0000006|idMovie0001|idRoom01|03/01/2025-17:30
idShowtime0000007|idMovie0001|idRoom01|03/01/2025-21:00
idShowtime0000008|idMovie0001|idRoom01|04/01/2025-00:00
idShowtime0000009|idMovie0001|idRoom01|04/01/2025-03:30
idShowtime0000010|idMovie0001|idRoom01|04/01/2025-07:00
idShowtime0000011|idMovie0001|idRoom01|04/01/2025-10:30
idShowtime0000012|idMovie0001|idRoom01|04/01/2025-14:00
idShowtime0000013|idMovie0001|idRoom01|04/01/2025-17:30
idShowtime0000014|idMovie0001|idRoom01|04/01/2025-21:00
idShowtime0000015|idMovie0001|idRoom01|05/01/2025-00:00
idShowtime0000016|idMovie0001|idRoom01|05/01/2025-03:30
idShowtime0000017|idMovie0001|idRoom01|05/01/2025-07:00
idShowtime0000018|idMovie0001|idRoom01|05/01/2025-10:30
idShowtime0000019|idMovie0001|idRoom01|05/01/2025-14:00
idShowtime0000020|idMovie0001|idRoom01|05/01/2025-17:30
idShowtime0000021|idMovie0001|idRoom01|05/01/2025-21:00
idShowtime0000022|idMovie0002|idRoom02|03/01/2025-00:00
idShowtime0000023|idMovie0002|idRoom02|03/01/2025-03:00
idShowtime0000024|idMovie0002|idRoom02|03/01/2025-06:00
idShowtime0000025|idMovie0002|idRoom02|03/01/2025-09:00
idShowtime0000026|idMovie0002|idRoom02|03/01/2025-12:00
idShowtime0000027|idMovie0002|idRoom02|03/01/2025-15:00
idShowtime0000028|idMovie0002|idRoom02|03/01/2025-18:00
idShowtime0000029|idMovie0002|idRoom02|03/01/2025-21:00
idShowtime0000030|idMovie0002|idRoom02|04/01/2025-00:00
idShowtime0000031|idMovie0002|idRoom02|04/01/2025-03:00
idShowtime0000032|idMovie0002|idRoom02|04/01/2025-06:00
idShowtime0000033|idMovie0002|idRoom02|04/01/2025-09:00
idShowtime0000034|idMovie0002|idRoom02|04/01/2025-12:00
idShowtime0000035|idMovie0002|idRoom02|04/01/2025-15:00
idShowtime0000036|idMovie0002|idRoom02|04/01/2025-18:00
idShowtime0000037|idMovie0002|idRoom02|04/01/2025-21:00
idShowtime0000038|idMovie0002|idRoom02|05/01/2025-00:00
idShowtime0000039|idMovie0002|idRoom02|05/01/2025-03:00
idShowtime0000040|idMovie0002|idRoom02|05/01/2025-06:00
idShowtime0000041|idMovie0002|idRoom02|05/01/2025-09:00
idShowtime0000042|idMovie0002|idRoom02|05/01/2025-12:00
idShowtime0000043|idMovie0002|idRoom02|05/01/2025-15:00
idShowtime0000044|idMovie0002|idRoom02|05/01/2025-18:00
idShowtime0000045|idMovie0002|idRoom02|05/01/2025-21:00
idShowtime0000046|idMovie0003|idRoom05|03/01/2025-00:00
idShowtime0000047|idMovie0003|idRoom05|03/01/2025-04:00
idShowtime0000048|idMovie0003|idRoom05|03/01/2025-08:00
idShowtime0000049|idMovie0003|idRoom05|03/01/2025-12:00
idShowtime0000050|idMovie0003|idRoom05|03/01/2025-16:00
idShowtime0000051|idMovie0003|idRoom05|03/01/2025-20:00
idShowtime0000052|idMovie0003|idRoom05|04/01/2025-00:00
idShowtime0000053|idMovie0003|idRoom05|04/01/2025-04:00
idShowtime0000054|idMovie0003|idRoom05|04/01/2025-08:00
idShowtime0000055|idMovie0003|idRoom05|04/01/2025-12:00
idShowtime0000056|idMovie0003|idRoom05|04/01/2025-16:00
idShowtime0000057|idMovie0003|idRoom05|04/01/2025-20:00
idShowtime0000058|idMovie0003|idRoom05|05/01/2025-00:00
idShowtime0000059|idMovie0003|idRoom05|05/01/2025-04:00
idShowtime0000060|idMovie0003|idRoom05|05/01/2025-08:00
idShowtime0000061|idMovie0003|idRoom05|05/01/2025-12:00
idShowtime0000062|idMovie0003|idRoom05|05/01/2025-16:00
idShowtime0000063|idMovie0003|idRoom05|05/01/2025-20:00
idShowtime0000064|idMovie0003|idRoom03|03/01/2025-00:00
idShowtime0000065|idMovie0003|idRoom03|03/01/2025-04:00
idShowtime0000066|idMovie0003|idRoom03|03/01/2025-08:00
idShowtime0000067|idMovie0003|idRoom03|03/01/2025-12:00
idShowtime0000068|idMovie0003|idRoom03|03/01/2025-16:00
idShowtime0000069|idMovie0003|idRoom03|03/01/2025-20:00
idShowtime0000070|idMovie0003|idRoom03|04/01/2025-00:00
idShowtime0000071|idMovie0003|idRoom03|04/01/2025-04:00
idShowtime0000072|idMovie0003|idRoom03|04/01/2025-08:00
idShowtime0000073|idMovie0003|idRoom03|04/01/2025-12:00
idShowtime0000074|idMovie0003|idRoom03|04/01/2025-16:00
idShowtime0000075|idMovie0003|idRoom03|04/01/2025-20:00
idShowtime0000076|idMovie0003|idRoom03|05/01/2025-00:00
idShowtime0000077|idMovie0003|idRoom03|05/01/2025-04:00
idShowtime0000078|idMovie0003|idRoom03|05/01/2025-08:00
idShowtime0000079|idMovie0003|idRoom03|05/01/2025-12:00
idShowtime0000080|idMovie0003|idRoom03|05/01/2025-16:00
idShowtime0000081|idMovie0003|idRoom03|05/01/2025-20:00
idShowtime0000082|idMovie0003|idRoom03|03/01/2025-00:00
idShowtime0000083|idMovie0003|idRoom03|03/01/2025-04:00
idShowtime0000084|idMovie0003|idRoom03|03/01/2025-08:00
idShowtime0000085|idMovie0003|idRoom03|03/01/2025-12:00
idShowtime0000086|idMovie0003|idRoom03|03/01/2025-16:00
idShowtime0000087|idMovie0003|idRoom03|03/01/2025-20:00
idShowtime0000088|idMovie0003|idRoom03|04/01/2025-00:00
idShowtime0000089|idMovie0003|idRoom03|04/01/2025-04:00
idShowtime0000090|idMovie0003|idRoom03|04/01/2025-08:00
idShowtime0000091|idMovie0003|idRoom03|04/01/2025-12:00
idShowtime0000092|idMovie0003|idRoom03|04/01/2025-16:00
idShowtime0000093|idMovie0003|idRoom03|04/01/2025-20:00
idShowtime0000094|idMovie0003|idRoom03|05/01/2025-00:00
idShowtime0000095|idMovie0003|idRoom03|05/01/2025-04:00
idShowtime0000096|idMovie0003|idRoom03|05/01/2025-08:00
idShowtime0000097|idMovie0003|idRoom03|05/01/2025-12:00
idShowtime0000098|idMovie0003|idRoom03|05/01/2025-16:00
idShowtime0000099|idMovie0003|idRoom03|05/01/2025-20:00
idShowtime0000100|idMovie0004|idRoom04|03/01/2025-00:00
idShowtime0000101|idMovie0004|idRoom04|03/01/2025-02:00
idShowtime0000102|idMovie0004|idRoom04|03/01/2025-04:00
idShowtime0000103|idMovie0004|idRoom04|03/01/2025-06:00
idShowtime0000104|idMovie0004|idRoom04|03/01/2025-08:00
idShowtime0000105|idMovie0004|idRoom04|03/01/2025-10:00
idShowtime0000106|idMovie0004|idRoom04|03/01/2025-12:00
idShowtime0000107|idMovie0004|idRoom04|03/01/2025-14:00
idShowtime0000108|idMovie0004|idRoom04|03/01/2025-16:00
idShowtime0000109|idMovie0004|idRoom04|03/01/2025-18:00
idShowtime0000110|idMovie0004|idRoom04|03/01/2025-20:00
idShowtime0000111|idMovie0004|idRoom04|03/01/2025-22:00
idShowtime0000112|idMovie0004|idRoom04|04/01/2025-00:00
idShowtime0000113|idMovie0004|idRoom04|04/01/2025-02:00
idShowtime0000114|idMovie0004|idRoom04|04/01/2025-04:00
idShowtime0000115|idMovie0004|idRoom04|04/01/2025-06:00
idShowtime0000116|idMovie0004|idRoom04|04/01/2025-08:00
idShowtime0000117|idMovie0004|idRoom04|04/01/2025-10:00
idShowtime0000118|idMovie0004|idRoom04|04/01/2025-12:00
idShowtime0000119|idMovie0004|idRoom04|04/01/2025-14:00
idShowtime0000120|idMovie0004|idRoom04|04/01/2025-16:00
